rank,headword,pos,en,ex_fr,ex_en,dispersion,freq
1830,prestation,nf,benefit,de nombreuses prestations ont été éliminées –,numerous benefits were eliminated,51,1903
1831,régner,v,to reign,un silence de mort règne dans la salle –,a deathly silence filled the room,78,695
1832,catastrophe,nf,"catastrophe, disaster",les agriculteurs subissent déjà beaucoup de catastrophes naturelles –,farmers are already suffering from many natural disasters,80,627
1833,ressortir,v,"to go out again, come out again, take out again","sur un fond noir, les couleurs ressortaient mieux –",on a black background the colors showed up better,83,530
1834,exploitation,nf,"operation, exploitation",il s’agit d’une exploitation intellectuelle de l’enfant –,it’s all about intellectual exploitation of children,63,1289
1835,manifestation,nf,"demonstration, event",on en attendait des manifestations spectaculaires –,a spectacular event was expected,63,1327
1836,dormir,v,to sleep,je ne faisais que dormir sur la plage –,all I did was sleep on the beach,57,1579
1837,lit,nm,bed,je sautai joyeusement du lit –,I jumped joyfully out of the bed,58,1528
1838,bouche,nf,mouth,des mots sortirent mécaniquement de ma bouche –,words left my mouth automatically,60,1465
1839,excuse,nf,"excuse, apology",tu pouvais t’inventer une meilleure excuse –,you could have come up with a better excuse,83,520
1840,veille,nf,"the day before, the eve of, night watch",on s’était fiancés la veille –,we were engaged the night before,69,1056
1841,content,adj,"glad, pleased, happy",elles étaient très contentes d’y aller –,they were very happy to go there,66,1152
1842,rassurer,v,"to reassure, calm down",le premier travail consiste à rassurer le gosse –,the first task is to calm the kid down,79,655
1843,triste,adj(f),sad,"ouais, ouais, ne sois pas triste pour ça –","yeah, yeah, don’t be sad about that",72,910
1844,latin,nadj,Latin,l’anglais est encore plus latin que le français –,English is more Latin than French is,78,687
1845,classique,nadj(f),classic,j’ai étudié la musique classique –,I studied classical music,72,916
1846,alliance,nf,alliance,nous reconnaissons nos obligations envers l’alliance –,we recognize our duty to the alliance,75,791
1847,préoccupation,nf,"worry, concern",je pense que c’est une préoccupation que nous partageons –,I think it’s a concern we share,64,1265
1848,trace,nf,"trace, mark, track",l’histoire humaine laisse d’éternelles traces –,human history is leaving behind eternal footprints,76,747
1849,logement,nm,accommodation,ils ont trouvé un logement et fait venir leur famille –,they found a place to live and had their family come,63,1270
1850,langage,nm,language,je parle le langage de la passion –,I speak the language of passion,70,974
1851,plainte,nf,"moan, groan, complaint","quand cette femme a porté plainte, sa vie a été menacée –","when this woman filed a complaint, her life was threatened",72,926
1852,chaud,"adv, nadj","warm, hot",il y a du café chaud dans le coffre sous la banquette –,there’s hot coffee in the box under the bench,69,1046
1853,taire,v,to keep quiet,"oh, tais toi, tu n’as pas honte –","oh, shut up, you have no shame",59,1474
1854,émotion,nf,"emotion, feeling",je fis de mon émotion un événement –,I turned my emotions into a spectacle,79,653
1855,judiciaire,adj(f),judiciary,nous devons préserver l’indépendance du pouvoir judiciaire –,we must preserve the judiciary’s independance,63,1274
1856,progresser,v,to progress,nous avons pas mal progressé à ce sujet –,we have progressed quite well on this topic,67,1120
1857,secours,nm(pl),"help, aid, assistance",une jeune fille appelait au secours –,a young girl was crying for help,69,1007
1858,confronter,v,to confront,elle est confrontée à des défis plus nombreux –,she was confronted by numerous challenges,74,820
1859,strict,adj,"strict, absolute",ce serait son strict devoir –,this would be his strict duty,85,447
1860,club,nm,club,j’arrivais dans un club qui avait gagné deux championnats –,I joined a club that had won two championships,67,1100
1861,ouvrier,nadj,worker,l’Allemand a toujours été bon ouvrier –,the German has always been a hard worker,71,935
1862,souffrance,nf,suffering,je connais les souffrances du monde –,I know the sufferings of the world,78,671
1863,observation,nf,observation,j’ai trouvé l’observation astucieuse –,I found the observation astute,64,1214
1864,rétablir,v,"to restore, re-establish","parfois, j’ai envie de rétablir quelques vérités –",sometimes I want to re-establish some truths,76,740
1865,immeuble,nadj(f),building,j’habite dans cet immeuble –,I live in this building,79,656
1866,passion,nf,passion,lirait-il avec passion les journaux? –,would he read newspapers with passion?,65,1170
1867,rupture,nf,"break, rupture","il y a eu rupture des négociations, reprise des négociations –","negotiations broke down, then restarted",81,569
1868,office,nm,"office, bureau",il perd son emploi à l’office des jardins –,he lost his job at the gardening office,72,899
1869,compliquer,v,to complicate,le système actuel s’avère-t-il compliqué –,the current system proves too complicated,84,473
1870,assumer,v,to assume,les autorités font assumer la responsabilité des troubles –,the authorities will assume responsibility for the confusion,74,808
1871,partiel,nadj,partial,elle travaille à temps partiel –,she works part-time,77,712
1872,éprouver,v,"to feel, experience",je n’éprouvais aucune hâte à procéder –,I didn’t feel any need to continue,71,916
1873,rendez-vous,nm(pl),appointment,"oui, nous avions un rendez-vous clandestin –","yes, we had a secret rendez-vous",74,828
1874,argument,nm,argument,j’ai entendu des arguments peu convaincants –,I heard fairly unconvincing arguments,69,1029
1875,planète,nf,planet,toute la planète est fatiguée de ce conflit –,the whole planet is tired of this conflict,75,784
1876,maire,nm,mayor,il a fait 3 mandats comme maire –,he filled three terms as mayor,71,916
1877,délicat,nadj,"delicate, fine, gentle",c’est toujours délicat d’embaucher des amies! –,it’s always tricky to hire girlfriends,81,576
1878,attentat,nm,"attack, assassination attempt",il s’agit d’un attentat de la guérilla –,it was a guerilla attack,50,1897
1879,boire,"nm, v",to drink,vous boirez quelque chose? –,would you like something to drink?,59,1457
1880,richesse,nf,"wealth, richness","ce sera mon passeport pour la richesse, l’indépendance –","this will be my passport to riches, independence",79,650
1881,caisse,nf,"till, cash desk",tu vas passer à la caisse! –,you must go to the cashier!,68,1040
1882,hasard,nm,"chance, luck",on ne laissait rien au hasard –,nothing was left to chance,71,940
1883,héros,nm(pl),hero,un héros lui aurait sauvé la vie –,a hero would have saved her life,75,765
1884,oreille,nf,ear,il s’introduisit un doigt dans l’oreille –,he stuck a finger in his ear,67,1101
1885,incident,"adj, nm",incident,"fort heureusement, l’incident n’a pas fait de victime –","very fortunately, the incident was without victims",73,868
1886,café,nm,"coffee, café",Amélie est serveuse dans un café de Montmartre –,Amélie is a waitress in a Montmartre café,66,1124
1887,annonce,nf,announcement,il n’y a pas eu d’annonce à ce sujet –,there was no announcement concerning this,70,983
1888,régulièrement,adv,regularly,elle a promis de venir régulièrement –,she promised to come regularly,78,666
1889,pont,nm,bridge,il fallait jeter un pont entre l’Est et l’Ouest –,a bridge had to be built between the East and the West,77,707
1890,foutre,"v, nm","to f*ck, shove off",va te faire foutre –,go f*ck yourself,56,1577
1891,apercevoir,v,"to see, notice",on aperçoit la sortie du tunnel –,you can see the exit of the tunnel,66,1134
1892,refléter,v,to reflect,la pièce d’eau reflétait la majestueuse façade d’un palais de pierre –,the ornamental pool reflected the majestic facade of a stone palace,76,740
1893,bouger,v,"to move, shift, budge",je reste là. je ne bouge pas –,I’ll stay here. I won’t budge,62,1273
1894,foule,nf,crowd,"il y a foule chez toi, ce soir –",there’s a crowd at your place tonight,73,833
1895,chrétien,nadj,Christian,"il se sentait isolé, isolé psychologiquement –","he felt isolated, psychologically alone",83,500
1896,isoler,v,"to isolate, insulate","il se sentait isolé, isolé psychologiquement –","he felt isolated, psychologically alone",83,500
1897,norme,nf,"norm, standard",nous appliquons désormais les normes d’hygiène –,from now on we are applying hygiene standards,67,1059
1898,égalité,nf,equality,l’égalité des hommes et des femmes est garantie –,equality for men and women is guaranteed,70,958
1899,tenue,nf,"dress, outfit",il est rare qu’on me complimente sur ma tenue –,rarely do I receive compliments on my outfit,78,666
1900,animer,v,"to lead, conduct, animate",le vin suscitait des conversations animées –,the wine gave rise to animated conversations,76,731
1901,statistique,nf,"statistics, statistical",je suis tombé sur une statistique très intéressante –,I came across an interesting statistic,75,770
1902,piste,nf,"track, trail",c’est là où la piste s’arrête –,that’s where the trail ends,76,730
1903,préserver,v,to preserve,"dans le bocal, mes larmes préservent le cæur de mon fils –","inside the jar, my tears preserved my son’s heart",78,673
1904,hommage,nm,"homage, tribute",il a ensuite rendu hommage au président –,then he paid homage to the president,77,679
1905,inférieur,nadj,inferior,il déclare qu’elle lui est inférieure en amitié –,he declares that she is less loving than he,61,1326
1906,match,nm,"match, game",je n’avais pas gagné un match depuis deux mois –,I hadn’t won a match in two months,54,1652
1907,pointe,nf,"point, tip",la longue pointe de mon parapluie était comme un doigt –,the long tip of my umbrella was like a finger,80,594
1908,gouvernemental,adj,governmental,je suis ici pour exécuter vos ordres –,I’m here to carry out your orders,79,613
1909,exécuter,v,"to execute, carry out",je suis ici pour exécuter vos ordres –,I’m here to carry out your orders,79,613
1910,tragédie,nf,tragedy,la tragédie a commencé. Hitler a attaqué l’URSS –,the tragedy began. Hitler invaded the Soviet Union,83,490
